input_text	target_text
▁en ▁kaheoma	▁en ▁kaheoma
▁mi ▁kaheoma ribi ▁panpihiko	▁mi ▁kaheoma ribi ▁panpihiko
▁ea ▁kaheoma ribi ▁pan pí hiko	▁ea ▁kaheoma ribi ▁pan pí hiko
▁eah ▁a ñ os oma ▁ewen ▁bene ▁ma ▁iwa hoko	▁eah ▁a ñ os oma ▁ewen ▁bene ▁ma ▁iwa hoko
▁eah ▁kaheoma ▁ewen ▁bene ▁ma ▁iro hoko	▁eah ▁kaheoma ▁ewen ▁bene ▁ma ▁iro hoko
▁abo ▁kaheoma ▁ewen ▁bene ▁ma ▁iwa hoko	▁abo ▁kaheoma ▁ewen ▁bene ▁ma ▁iwa hoko
▁eah ▁kaheoma ▁ewen ▁bene ▁ma ▁iwahako	▁eah ▁kaheoma ▁ewen ▁bene ▁ma ▁iwahako
▁mako sh tima ti ▁mako sh tima ti ah	▁mako sh tima ti ▁mako sh tima ti ah
▁kaheti ▁kaheti ah	▁kaheti ▁kaheti ah
▁habon ti ▁a k ti ▁atipan yamai ▁iwa hoko ▁moa	▁habon ti ▁a k ti ▁atipan yamai ▁iwa hoko ▁moa
▁kaheti ▁a k ti ▁atipan yamai ▁ton kohoko ▁moa	▁kaheti ▁a k ti ▁atipan yamai ▁ton kohoko ▁moa
▁kaheti ▁ati ▁atipan yamai ▁ia w hako ▁moa	▁kaheti ▁ati ▁atipan yamai ▁ia w hako ▁moa
▁ma ▁isan ▁pei ▁hara ti	▁ma ▁isan ▁pei ▁hara ti
▁ma ▁kahe ▁mo ka ▁hara ti	▁ma ▁kahe ▁mo ka ▁hara ti
▁ma ▁ka l he ▁pei ▁ha rai	▁ma ▁ka l he ▁pei ▁ha rai
▁mi bo ra ▁beneoma hoko ▁iki	▁mi bo ra ▁beneoma hoko ▁iki
▁eara ▁beneoma hako ▁i i	▁eara ▁beneoma hako ▁i i
▁miraka me he koa ▁no o k n ▁ra yo s ▁iba	▁miraka me he koa ▁no o k n ▁ra yo s ▁iba
▁iwa hoko ▁legí mi to hoko ▁ikah	▁iwa hoko ▁legí mi to hoko ▁ikah
▁iwahako ▁yoshan hako ▁ikah	▁iwahako ▁yoshan hako ▁ikah
▁non ▁anan ▁man koa ti ▁non ▁anan ▁man koa ti ▁noa	▁non ▁anan ▁man koa ti ▁non ▁anan ▁man koa ti ▁noa
▁o an ton ▁anan ▁kaheati ▁o an ton ▁anan ▁kaheati ▁noa	▁o an ton ▁anan ▁kaheati ▁o an ton ▁anan ▁kaheati ▁noa
▁mi bo ▁anan ▁kaheati ▁mi bo ▁anan ▁kaheati ▁noa	▁mi bo ▁anan ▁kaheati ▁mi bo ▁anan ▁kaheati ▁noa
▁non ▁anan ▁kaheati ▁non ▁an n ▁kaheati ▁noa	▁non ▁anan ▁kaheati ▁non ▁an n ▁kaheati ▁noa
▁pake ti ▁atipan yama a ▁ma ▁ea	▁pake ti ▁atipan yama a ▁ma ▁ea
▁bene ti ▁atipan yama ▁ma ▁ea	▁bene ti ▁atipan yama ▁ma ▁ea
▁non ▁anan ▁epá ati ▁eah ▁kenai	▁non ▁anan ▁epá ati ▁eah ▁kenai
▁non ▁anan ▁kaheati ▁eah ▁me i	▁non ▁anan ▁kaheati ▁eah ▁me i
▁o an ton ▁anan ▁kaheati ▁eah ▁kenai	▁o an ton ▁anan ▁kaheati ▁eah ▁kenai
▁non ▁anan ▁ k ha e ati ▁eah ▁kenai	▁non ▁anan ▁ k ha e ati ▁eah ▁kenai
▁no ▁bo ▁ha	▁no ▁bo ▁ha
▁noah ▁ha	▁noah ▁ha
▁noa ▁an kati ▁eah ▁matsoi ▁motoro	▁noa ▁an kati ▁eah ▁matsoi ▁motoro
▁noa ▁an kati ▁eah ▁kenai ▁nane	▁noa ▁an kati ▁eah ▁kenai ▁nane
▁noa ▁an kati ▁eah ▁kenai ▁motoro	▁noa ▁an kati ▁eah ▁kenai ▁motoro
▁d ni ▁d ni ▁d ni	▁d ni ▁d ni ▁d ni
▁bemana ▁bemana ▁bemana	▁bemana ▁bemana ▁bemana
▁chai ▁chai ▁chai	▁chai ▁chai ▁chai
▁motoro ▁motoro ▁motoro	▁motoro ▁motoro ▁motoro
▁atian ▁ha ▁neska ki ▁ha ▁tapoa tika	▁atian ▁ha ▁neska ki ▁ha ▁tapoa tika
▁ai tan ▁ha ▁neska ki ▁ha ▁tapoa ti ▁ka	▁ai tan ▁ha ▁neska ki ▁ha ▁tapoa ti ▁ka
▁ko han ▁kahke ti ▁wishtininti ▁kahke ti ▁kenai ▁motosierra	▁ko han ▁kahke ti ▁wishtininti ▁kahke ti ▁kenai ▁motosierra
▁ko han ▁kah k ti ▁ko han ▁kahke ti ▁kenai ▁motosierra	▁ko han ▁kah k ti ▁ko han ▁kahke ti ▁kenai ▁motosierra
▁ma ▁wetsa ▁ma ▁wetsa ▁ewea ▁bena ▁ewe ▁wená ▁ewe ▁wená ▁ewe ▁wená	▁ma ▁wetsa ▁ma ▁wetsa ▁ewea ▁bena ▁ewe ▁wená ▁ewe ▁wená ▁ewe ▁wená
▁ma ▁koshi ▁ma ▁koshi ▁ewea ▁bena ▁ewe ▁wená ▁ewe ▁wená ▁ewe ▁wená	▁ma ▁koshi ▁ma ▁koshi ▁ewea ▁bena ▁ewe ▁wená ▁ewe ▁wená ▁ewe ▁wená
▁ma ▁iro ▁ma ▁iro ▁ewea ▁wino ▁ewe ▁wená ▁ewe ▁wená ▁ewe ▁wená	▁ma ▁iro ▁ma ▁iro ▁ewea ▁wino ▁ewe ▁wená ▁ewe ▁wená ▁ewe ▁wená
▁ma ▁iro ▁ma ▁iro ▁raon a ▁bena ▁raon ▁wená ▁raon ▁wená ▁raon ▁wená	▁ma ▁iro ▁ma ▁iro ▁raon a ▁bena ▁raon ▁wená ▁raon ▁wená ▁raon ▁wená
▁ma ▁iro ▁ma ▁iro ▁ho toa ▁bena ▁hoto ▁wená ▁hoto ▁wená ▁hoto ▁wená	▁ma ▁iro ▁ma ▁iro ▁ho toa ▁bena ▁hoto ▁wená ▁hoto ▁wená ▁hoto ▁wená
▁ma ▁iro ▁ma ▁iro ▁ewea ▁bena ▁ewe ▁w ken á ▁ewe ▁wená ▁e w re ▁wená	▁ma ▁iro ▁ma ▁iro ▁ewea ▁bena ▁ewe ▁w ken á ▁ewe ▁wená ▁e w re ▁wená
▁xate ▁wená	▁xate ▁wená
▁ewe ▁michapa	▁ewe ▁michapa
▁ewe ▁wená	▁ewe ▁wená
▁ewe ▁rayá hon ▁kaheati	▁ewe ▁rayá hon ▁kaheati
▁ewe ▁wená hon ▁ibiri ati	▁ewe ▁wená hon ▁ibiri ati
▁ewe ▁wená hon ▁kahe ai t	▁ewe ▁wená hon ▁kahe ai t
▁wa y on ▁wa y on ▁kaheati	▁wa y on ▁wa y on ▁kaheati
▁iro ▁iro ▁kaheati	▁iro ▁iro ▁kaheati
▁i ero ▁kaheati	▁i ero ▁kaheati
▁ewe ▁wená hon ▁kaheati ▁ea ▁o ro i ▁motosierra	▁ewe ▁wená hon ▁kaheati ▁ea ▁o ro i ▁motosierra
▁ee ▁wen a on ▁kaheati ▁ea ▁kenai ▁motosierra	▁ee ▁wen a on ▁kaheati ▁ea ▁kenai ▁motosierra
▁me re ▁ke ta ▁ani ▁a k hon ▁iro ▁ewe i ▁hain ▁non ▁yoa hon ▁piai ▁non ▁yoa ▁atsa ▁banai ▁hawi ▁banai	▁me re ▁ke ta ▁ani ▁a k hon ▁iro ▁ewe i ▁hain ▁non ▁yoa hon ▁piai ▁non ▁yoa ▁atsa ▁banai ▁hawi ▁banai
▁kahe ▁bena ▁a k hon ▁iro ▁ewe i ▁hain ▁non ▁yoa hon ▁piai ▁non ▁yoa ▁atsa ▁banai ▁hawi ▁banai	▁kahe ▁bena ▁a k hon ▁iro ▁ewe i ▁hain ▁non ▁yoa hon ▁piai ▁non ▁yoa ▁atsa ▁banai ▁hawi ▁banai
▁kahe ▁ani ▁a k hon ▁iro ▁ewe i ▁hain ▁non ▁yoa hon ▁piai ▁non ▁yoa ▁micha ▁bake ▁banai ▁hawi ▁banai	▁kahe ▁ani ▁a k hon ▁iro ▁ewe i ▁hain ▁non ▁yoa hon ▁piai ▁non ▁yoa ▁micha ▁bake ▁banai ▁hawi ▁banai
▁kahe ▁ani ▁a k hon ▁iro ▁ewe i ▁hain ▁mi ▁yoa hon ▁piai ▁non ▁yoa ▁atsa ▁banai ▁hawi ▁banai	▁kahe ▁ani ▁a k hon ▁iro ▁ewe i ▁hain ▁mi ▁yoa hon ▁piai ▁non ▁yoa ▁atsa ▁banai ▁hawi ▁banai
▁kahe ▁ani ▁ah no ▁iro ▁ewe i ▁han i ▁non ▁yoa hon ▁pei ai ▁non ▁yoa ▁atsa ▁banai ▁hawi	▁kahe ▁ani ▁ah no ▁iro ▁ewe i ▁han i ▁non ▁yoa hon ▁pei ai ▁non ▁yoa ▁atsa ▁banai ▁hawi
▁eara ▁ha ▁habo ▁meko hi ▁apoyo	▁eara ▁ha ▁habo ▁meko hi ▁apoyo
▁eara ▁ha ▁habo ▁kenai ▁arístides	▁eara ▁ha ▁habo ▁kenai ▁arístides
▁eara ▁ha ▁habo ▁kenai ▁apoyo	▁eara ▁ha ▁habo ▁kenai ▁apoyo
▁kochi ▁banai ▁heki ▁banai	▁kochi ▁banai ▁heki ▁banai
▁paranti ▁banai ▁wawa ▁banai	▁paranti ▁banai ▁wawa ▁banai
▁paran i t ▁banai ▁heki ▁banai	▁paran i t ▁banai ▁heki ▁banai
▁hatian	▁hatian
▁ea ▁eah ▁te cha ▁ikai ▁nato ▁te l é f on o	▁ea ▁eah ▁te cha ▁ikai ▁nato ▁te l é f on o
▁ea ▁eah ▁heriheri ▁ikai ▁oa ▁te l é f on o	▁ea ▁eah ▁heriheri ▁ikai ▁oa ▁te l é f on o
▁no ▁bo ▁no ▁bo ▁h ▁heriheri ▁ikai ▁nato ▁te l é f on o	▁no ▁bo ▁no ▁bo ▁h ▁heriheri ▁ikai ▁nato ▁te l é f on o
▁ea ▁abo ▁heriheri ▁ikai ▁nato ▁te l é f on o	▁ea ▁abo ▁heriheri ▁ikai ▁nato ▁te l é f on o
▁ea ▁eah ▁heriheri ▁ikai ▁nato ▁te é f on o	▁ea ▁eah ▁heriheri ▁ikai ▁nato ▁te é f on o
▁aribi ▁riki ▁eah ▁wisha ▁iki	▁aribi ▁riki ▁eah ▁wisha ▁iki
▁aribi ▁riki ▁abo ▁heriheri ▁iki	▁aribi ▁riki ▁abo ▁heriheri ▁iki
▁aribi ▁riki ▁e ha ▁heriheri ▁i i k	▁aribi ▁riki ▁e ha ▁heriheri ▁i i k
▁com un ic an ti ▁kopí	▁com un ic an ti ▁kopí
▁ya kati ▁kopí	▁ya kati ▁kopí
▁kenati ▁mapoki	▁kenati ▁mapoki
▁kenati ▁kopí	▁kenati ▁kopí
▁ato ▁kenati ▁kopi	▁ato ▁kenati ▁kopi
▁ato ▁cho kati	▁ato ▁cho kati
▁ato ▁kenati	▁ato ▁kenati
▁mato ▁kena tika	▁mato ▁kena tika
▁mato ▁kenati ▁ka	▁mato ▁kenati ▁ka
▁mato ▁poke ti ▁ro ber to ▁poke ti	▁mato ▁poke ti ▁ro ber to ▁poke ti
▁mato ▁kenati ▁pao ▁kenati	▁mato ▁kenati ▁pao ▁kenati
▁mato ▁iná ti ▁ro ber to ▁iná ti	▁mato ▁iná ti ▁ro ber to ▁iná ti
▁mato ▁kenati ▁ro ber to ▁kenati	▁mato ▁kenati ▁ro ber to ▁kenati
▁noa ▁ni ai ▁on on	▁noa ▁ni ai ▁on on
▁abo ▁oini ▁on on	▁abo ▁oini ▁on on
▁no ma ▁oini ▁on on	▁no ma ▁oini ▁on on
▁pa ▁que ▁v en ga ▁a ▁mira r	▁pa ▁que ▁v en ga ▁a ▁mira r
▁haskara bo ▁ea ▁eah ▁hara ▁iki ▁motosierra ▁motoro	▁haskara bo ▁ea ▁eah ▁hara ▁iki ▁motosierra ▁motoro
▁haskara bo ▁ea ▁eah ▁heriheri ▁iki ▁motosierra ▁moto r	▁haskara bo ▁ea ▁eah ▁heriheri ▁iki ▁motosierra ▁moto r
▁ma ▁in aketian ka ▁ramabi ma	▁ma ▁in aketian ka ▁ramabi ma
▁ma ▁eweketian ▁ka ▁ra má bi má	▁ma ▁eweketian ▁ka ▁ra má bi má
▁ramabi ma	▁ramabi ma
▁ramabi ma ▁xobo ▁hakon ▁aka h	▁ramabi ma ▁xobo ▁hakon ▁aka h
▁ehe ▁ma ▁ts in kin ah ▁ts in kin ah ▁ma ▁iro ▁ts in kin ah	▁ehe ▁ma ▁ts in kin ah ▁ts in kin ah ▁ma ▁iro ▁ts in kin ah
▁ehe ▁ma ▁eweah ▁eweah ▁ma ▁chi qui to ▁eweah	▁ehe ▁ma ▁eweah ▁eweah ▁ma ▁chi qui to ▁eweah
▁ehe ▁ma ▁to ena h ▁to ena h ▁ma ▁iro ▁to ena h	▁ehe ▁ma ▁to ena h ▁to ena h ▁ma ▁iro ▁to ena h
▁ehe ▁ma ▁eweah ▁eweah ▁mai ro ▁eweah	▁ehe ▁ma ▁eweah ▁eweah ▁mai ro ▁eweah
▁xobo ▁re wan ▁ma ▁to ya ▁akaka	▁xobo ▁re wan ▁ma ▁to ya ▁akaka
▁xobo rewan ▁ma ▁iro ▁akaka	▁xobo rewan ▁ma ▁iro ▁akaka
▁ma ▁eah ▁wewa yamai ▁nato	▁ma ▁eah ▁wewa yamai ▁nato
▁ma ▁eah ▁kena yamai ▁ha	▁ma ▁eah ▁kena yamai ▁ha
▁ma ▁eah ▁kenyamai ▁nato	▁ma ▁eah ▁kenyamai ▁nato
▁hopo bo ▁hain ▁westiora ▁shipibo ▁katima	▁hopo bo ▁hain ▁westiora ▁shipibo ▁katima
▁shipibo ▁hain ▁westiora ▁shipibo ▁yon á tima	▁shipibo ▁hain ▁westiora ▁shipibo ▁yon á tima
▁shipibo ▁hain ▁westiora ▁shipibo ▁katima	▁shipibo ▁hain ▁westiora ▁shipibo ▁katima
▁puro ▁mas o bo ▁mas on awa bi reska	▁puro ▁mas o bo ▁mas on awa bi reska
▁puro ▁iskobo ▁ni bobi reska	▁puro ▁iskobo ▁ni bobi reska
▁puro ▁iskobo ▁iskonawa bires ▁ka	▁puro ▁iskobo ▁iskonawa bires ▁ka
▁puro ▁iskonawa b res	▁puro ▁iskonawa b res
▁iskonawa bira ▁hatian ▁shipibo ka ▁aka ▁non ▁moa ▁hawen ▁kirin ko ▁akin ▁ma ▁noa	▁iskonawa bira ▁hatian ▁shipibo ka ▁aka ▁non ▁moa ▁hawen ▁kirin ko ▁akin ▁ma ▁noa
▁iskonawa bira ▁hatian ▁shipibo ka ▁aka ▁a boton ▁moa ▁hawen ▁hoi ▁akin ▁ma ▁noa	▁iskonawa bira ▁hatian ▁shipibo ka ▁aka ▁a boton ▁moa ▁hawen ▁hoi ▁akin ▁ma ▁noa
▁iskonawa bira ▁hatian ▁shipibo ▁ka ▁aka ▁no y n ▁moa ▁hawen ▁h ro i ▁akin ▁ma ▁noa	▁iskonawa bira ▁hatian ▁shipibo ▁ka ▁aka ▁no y n ▁moa ▁hawen ▁h ro i ▁akin ▁ma ▁noa
▁iskonawa ▁i yá	▁iskonawa ▁i yá
▁iskonawa ▁hoi	▁iskonawa ▁hoi
▁non ▁aon ▁moa ▁shinan ▁beno ribi ▁iki	▁non ▁aon ▁moa ▁shinan ▁beno ribi ▁iki
▁non ▁bana ▁moa ▁tsinki ▁beno ribi ▁iki	▁non ▁bana ▁moa ▁tsinki ▁beno ribi ▁iki
▁non ▁bana ▁moa ▁shinan ▁está ribi ▁iki	▁non ▁bana ▁moa ▁shinan ▁está ribi ▁iki
▁non ▁bana ▁moa ▁shinanbeno ribi ▁ki	▁non ▁bana ▁moa ▁shinanbeno ribi ▁ki
▁bana ▁yomets o ▁ben oai	▁bana ▁yomets o ▁ben oai
▁d ban a ▁shinanbeno tai	▁d ban a ▁shinanbeno tai
▁shinan ▁tso sai	▁shinan ▁tso sai
▁shinanbeno tai	▁shinanbeno tai
▁mapo bo betan ▁iki	▁mapo bo betan ▁iki
▁shipibobetan ▁iki	▁shipibobetan ▁iki
▁eara ▁yoshin betan ▁ika ▁ika ▁i k pai katiai ▁nato ▁koronia ▁hoa h	▁eara ▁yoshin betan ▁ika ▁ika ▁i k pai katiai ▁nato ▁koronia ▁hoa h
▁eara ▁shipibobetan ▁ika ▁ika ▁i k pai katiai ▁ha ▁koronia ▁hoa h	▁eara ▁shipibobetan ▁ika ▁ika ▁i k pai katiai ▁ha ▁koronia ▁hoa h
▁eara ▁shipibobetan ▁ika ▁ika ▁i k pai katiai ▁nato ▁ochí ▁hoa h	▁eara ▁shipibobetan ▁ika ▁ika ▁i k pai katiai ▁nato ▁ochí ▁hoa h
▁eara ▁shipibobetan ▁ika ▁ika ▁i k pai katiai ▁nato ▁koronia ▁ta roa h	▁eara ▁shipibobetan ▁ika ▁ika ▁i k pai katiai ▁nato ▁koronia ▁ta roa h
▁no ▁bo ▁ra ▁shipibobetan ▁ika ▁ika ▁i k pai katiai ▁nato ▁koronia ▁hoa h	▁no ▁bo ▁ra ▁shipibobetan ▁ika ▁ika ▁i k pai katiai ▁nato ▁koronia ▁hoa h
▁eara ▁shipi b ho betan ▁ika ▁ika ▁i pa ▁ikatiai ▁nato ▁koronia ▁hoa h	▁eara ▁shipi b ho betan ▁ika ▁ika ▁i pa ▁ikatiai ▁nato ▁koronia ▁hoa h
▁atian ▁ea ▁shipi ▁bakebon ka ▁ea ▁nachi kin ▁micha ▁bana hoko	▁atian ▁ea ▁shipi ▁bakebon ka ▁ea ▁nachi kin ▁micha ▁bana hoko
▁atian ▁ea ▁shipi ▁bakebon ka ▁ea ▁mawa kin ▁micha ▁chopa hoko	▁atian ▁ea ▁shipi ▁bakebon ka ▁ea ▁mawa kin ▁micha ▁chopa hoko
▁atian ▁eah ▁shipi ▁bakebon ka ▁eah ▁mawa kin ▁micha ▁bana hoko	▁atian ▁eah ▁shipi ▁bakebon ka ▁eah ▁mawa kin ▁micha ▁bana hoko
▁atan ▁ea ▁shipi ▁bakebon ▁ka ▁ea ▁mawa k ín ▁m c i ha ▁bana hako	▁atan ▁ea ▁shipi ▁bakebon ▁ka ▁ea ▁mawa k ín ▁m c i ha ▁bana hako
▁haweki ▁kairi ▁ha ▁aho yai	▁haweki ▁kairi ▁ha ▁aho yai
▁haweki ▁kairi ▁yon á i ▁iki	▁haweki ▁kairi ▁yon á i ▁iki
▁haweki ▁kairi ▁ohai ▁iki	▁haweki ▁kairi ▁ohai ▁iki
▁haska ▁akin ▁eah ▁o ran ▁ea ▁mawa ▁rab ini ▁kai ▁eah ▁shinan ▁beno i	▁haska ▁akin ▁eah ▁o ran ▁ea ▁mawa ▁rab ini ▁kai ▁eah ▁shinan ▁beno i
▁haska ▁akin ▁eah ▁shipibon ▁ea ▁be ▁rab ini ▁kai ▁eah ▁shinan ▁beno i	▁haska ▁akin ▁eah ▁shipibon ▁ea ▁be ▁rab ini ▁kai ▁eah ▁shinan ▁beno i
▁haska ▁akin ▁eah ▁shipibon ▁ea ▁mawa ▁toai ▁kai ▁eah ▁shinan ▁beno i	▁haska ▁akin ▁eah ▁shipibon ▁ea ▁mawa ▁toai ▁kai ▁eah ▁shinan ▁beno i
▁ha s teke ▁akin ▁eah ▁shipibon ▁ea ▁mawa ▁rab ini ▁teke i ▁eah ▁shinan ▁beno i	▁ha s teke ▁akin ▁eah ▁shipibon ▁ea ▁mawa ▁rab ini ▁teke i ▁eah ▁shinan ▁beno i
▁haska ▁akin ▁eah ▁shipibon ▁ea ▁mawa ▁rab ini ▁kai ▁eah ▁shinan ▁ne hai	▁haska ▁akin ▁eah ▁shipibon ▁ea ▁mawa ▁rab ini ▁kai ▁eah ▁shinan ▁ne hai
▁haska ▁akin ▁e c ah ▁shipibon ▁ea ▁mawa ra bini ▁kai ▁eah ▁shinanbeno ti	▁haska ▁akin ▁e c ah ▁shipibon ▁ea ▁mawa ra bini ▁kai ▁eah ▁shinanbeno ti
▁shinan hon ▁shinan hon ▁yoi kati ▁yoi kati	▁shinan hon ▁shinan hon ▁yoi kati ▁yoi kati
▁atian ▁noa ▁yoyai ▁nachi ▁ma l tra ta mi en to ▁me ▁dice ▁nachi	▁atian ▁noa ▁yoyai ▁nachi ▁ma l tra ta mi en to ▁me ▁dice ▁nachi
▁atian ▁noa ▁yoyai ▁in dio ▁ma l tra ta mi en to ▁me ▁aoka me t ▁in dio	▁atian ▁noa ▁yoyai ▁in dio ▁ma l tra ta mi en to ▁me ▁aoka me t ▁in dio
▁atian ▁ea bo ▁yoyai ▁in dio ▁ma l tra ta mi en to ▁me ▁dice ▁in dio	▁atian ▁ea bo ▁yoyai ▁in dio ▁ma l tra ta mi en to ▁me ▁dice ▁in dio
▁ati a d n ▁noa ▁yoyai ▁in dio ▁ma l tra ta mi en to ▁me ▁d ic y e ▁in dio	▁ati a d n ▁noa ▁yoyai ▁in dio ▁ma l tra ta mi en to ▁me ▁d ic y e ▁in dio
▁shipibo ▁ni in te li g i b le	▁shipibo ▁ni in te li g i b le
▁atian ▁eah ▁soro ▁soro ribiai ▁oni ▁ikah	▁atian ▁eah ▁soro ▁soro ribiai ▁oni ▁ikah
▁atian ▁mi bo ▁rab in ribiai ▁oni ▁ikah	▁atian ▁mi bo ▁rab in ribiai ▁oni ▁ikah
▁ati a ▁eah ▁rab in ribiai ▁oni ▁ikah	▁ati a ▁eah ▁rab in ribiai ▁oni ▁ikah
▁eah ▁oni ▁ikah ▁eah ▁p oai	▁eah ▁oni ▁ikah ▁eah ▁p oai
▁abo ▁oni ▁ikah ▁abo ▁rab inai	▁abo ▁oni ▁ikah ▁abo ▁rab inai
▁oa ▁oni ▁ikah ▁oa ▁rab inai	▁oa ▁oni ▁ikah ▁oa ▁rab inai
▁eah ▁oi ▁ikah ▁eah ▁rab inai	▁eah ▁oi ▁ikah ▁eah ▁rab inai
▁po r qu e ▁puro ▁is con ah ua	▁po r qu e ▁puro ▁is con ah ua
▁eah ▁aska ribi ▁choran ▁ikah ▁rab ini ka ▁hainka ▁moa ▁shipibon ▁bana ▁onanke	▁eah ▁aska ribi ▁choran ▁ikah ▁rab ini ka ▁hainka ▁moa ▁shipibon ▁bana ▁onanke
▁eah ▁aska ribi ▁oni ▁ikah ▁rab ini ka ▁hainka ▁moa ▁ka pé n ▁bana ▁onanke	▁eah ▁aska ribi ▁oni ▁ikah ▁rab ini ka ▁hainka ▁moa ▁ka pé n ▁bana ▁onanke
▁eah ▁ai ka ribi ▁oni ▁ikah ▁rab ini ka ▁hain ▁ka ▁moa ▁sh pi i bon ▁bana ▁onanke	▁eah ▁ai ka ribi ▁oni ▁ikah ▁rab ini ka ▁hain ▁ka ▁moa ▁sh pi i bon ▁bana ▁onanke
▁ea ▁shipibobetan ▁tosh bake	▁ea ▁shipibobetan ▁tosh bake
▁ea ▁shipibobetan ▁yoyoi ke	▁ea ▁shipibobetan ▁yoyoi ke
▁non ▁hoi ▁iwe ▁aka betin	▁non ▁hoi ▁iwe ▁aka betin
▁atian ▁ha ▁min ▁hoi ▁i k yama a ▁mi ▁min ▁bana ▁i k yamawe	▁atian ▁ha ▁min ▁hoi ▁i k yama a ▁mi ▁min ▁bana ▁i k yamawe
▁atian ▁ha ▁min ▁se c re ta ria ▁i k yama a ▁mi ▁min ▁bana ▁i k yamawe	▁atian ▁ha ▁min ▁se c re ta ria ▁i k yama a ▁mi ▁min ▁bana ▁i k yamawe
▁atian ▁ha ▁min ▁hoi ▁i k yama a ▁mi ▁min ▁kené ▁i k yamawe	▁atian ▁ha ▁min ▁hoi ▁i k yama a ▁mi ▁min ▁kené ▁i k yamawe
▁atian ▁ha ▁min ▁oi ▁i yama ▁mi ▁min ▁bana ▁i ya m wa e	▁atian ▁ha ▁min ▁oi ▁i yama ▁mi ▁min ▁bana ▁i ya m wa e
▁nokon ▁hoi ▁nokon ▁chan ka ▁i k we ▁akin ▁akai ▁shipibon ribi ▁noa	▁nokon ▁hoi ▁nokon ▁chan ka ▁i k we ▁akin ▁akai ▁shipibon ribi ▁noa
▁nokon ▁hoi ▁nokon ▁bana ▁i k we ▁akin ▁akai ▁shipibon ribi ▁mia	▁nokon ▁hoi ▁nokon ▁bana ▁i k we ▁akin ▁akai ▁shipibon ribi ▁mia
▁nokon ▁hoi ▁nokon ▁bana ▁iwe ▁akin ▁akai ▁shipibon ▁ribi ▁noa	▁nokon ▁hoi ▁nokon ▁bana ▁iwe ▁akin ▁akai ▁shipibon ▁ribi ▁noa
▁noa ▁awen ▁bana ▁iki	▁noa ▁awen ▁bana ▁iki
▁hatian ▁ete ▁bi m inki ▁ninka t yamai ▁ewen ▁bana	▁hatian ▁ete ▁bi m inki ▁ninka t yamai ▁ewen ▁bana
▁hatian ▁shipibon ki ▁ninka t yamai ▁ewen ▁un iv er si dad	▁hatian ▁shipibon ki ▁ninka t yamai ▁ewen ▁un iv er si dad
▁hatian ▁shipibon ki ▁ninkayamai ▁ewen ▁bana	▁hatian ▁shipibon ki ▁ninkayamai ▁ewen ▁bana
▁non ▁non ▁ewen ▁po ro k ▁akaka ▁atian ▁shipibo	▁non ▁non ▁ewen ▁po ro k ▁akaka ▁atian ▁shipibo
▁non ▁non ▁ewen ▁bana ▁akaka ▁atian ▁tenkoti	▁non ▁non ▁ewen ▁bana ▁akaka ▁atian ▁tenkoti
▁no ▁non ▁ewen ▁bana ▁akaka ▁atian ▁shipibo	▁no ▁non ▁ewen ▁bana ▁akaka ▁atian ▁shipibo
▁hawe ▁ikiri ▁hawe ▁ikiri ▁min ka ▁iki ▁ma e yamai ▁akin	▁hawe ▁ikiri ▁hawe ▁ikiri ▁min ka ▁iki ▁ma e yamai ▁akin
▁hawe ▁ikiri ▁hawe ▁ikiri ▁min kai ki ▁ninkayamai ▁akin	▁hawe ▁ikiri ▁hawe ▁ikiri ▁min kai ki ▁ninkayamai ▁akin
▁ha ▁haskati ▁riki ▁akin ▁akai ▁awen ▁me bin ka ▁shi pin ▁me bin ▁awen ▁haskati ▁riki ▁akin	▁ha ▁haskati ▁riki ▁akin ▁akai ▁awen ▁me bin ka ▁shi pin ▁me bin ▁awen ▁haskati ▁riki ▁akin
▁ha ▁haskati ▁riki ▁akin ▁ba kai ▁awen ▁ho in ▁ka ▁shi pin ▁ho in ▁awen ▁haskati ▁riki ▁akin	▁ha ▁haskati ▁riki ▁akin ▁ba kai ▁awen ▁ho in ▁ka ▁shi pin ▁ho in ▁awen ▁haskati ▁riki ▁akin
▁awen ▁mo ka	▁awen ▁mo ka
▁awen ▁bana	▁awen ▁bana
▁awen ▁bari ti a ▁shi pin ▁bari ti aka	▁awen ▁bari ti a ▁shi pin ▁bari ti aka
▁awen ▁bana ▁shi pin ▁bana ▁ka	▁awen ▁bana ▁shi pin ▁bana ▁ka
▁bebe bon ▁bana	▁bebe bon ▁bana
▁shipibon ▁bana	▁shipibon ▁bana
▁a f an in g an ▁bana	▁a f an in g an ▁bana
▁shipibon ▁bana	▁shipibon ▁bana
▁hon to kon ▁bana ▁askati ▁askati ▁riki ▁akin ▁ewen ▁bana biribi ▁akai	▁hon to kon ▁bana ▁askati ▁askati ▁riki ▁akin ▁ewen ▁bana biribi ▁akai
▁shipibon ▁menko ▁askati ▁askati ▁riki ▁akin ▁ewen ▁menko biribi ▁akai	▁shipibon ▁menko ▁askati ▁askati ▁riki ▁akin ▁ewen ▁menko biribi ▁akai
▁shipibon ▁menko ▁askati ▁askati ▁riki ▁akin ▁ewen ▁menko biribi ▁akai	▁shipibon ▁menko ▁askati ▁askati ▁riki ▁akin ▁ewen ▁menko biribi ▁akai
